"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","株価騰落【率】(%)","時価総額(百万円)","出来高増加率(倍)"
"3607","クラウディアＨＬＤＧ","東S","361","+1.0(+0.28%)","361.0","0.28","3,498","0.57"
"3608","ＴＳＩ　ＨＬＤＧ","東P","1083","-1.0(-0.09%)","1,083.0","-0.09","80,257","0.77"
"3611","マツオカコーポレーション","東S","2489","+6.0(+0.24%)","2,489.0","0.24","26,288","1.09"
"3612","ワールド","東P","3060","-45.0(-1.45%)","3,060.0","-1.45","112,787","0.89"
"3622","ネットイヤーグループ","東G","680","+11.0(+1.64%)","680.0","1.64","4,759","0.86"
"3623","ビリングシステム","東G","999","+3.0(+0.30%)","999.0","0.30","6,558","1.38"
"3624","アクセルマーク","東G","87","+5.0(+6.10%)","87.0","6.10","1,729","18.23"
"3625","テックファームＨＬＤＧ","東G","693","+13.0(+1.91%)","693.0","1.91","5,208","2.00"
"3626","ＴＩＳ","東P","4793.0","+26.0(+0.55%)","4,793.0","0.55","1,132,267","1.10"
"3627","テクミラＨＬＤＧ","東S","260","+2.0(+0.78%)","260.0","0.78","3,305","3.28"
"3628","データホライゾン","東G","515","+5.0(+0.98%)","515.0","0.98","6,547","0.21"
"3632","グリーＨＬＤＧ","東P","420","+6.0(+1.45%)","420.0","1.45","75,495","2.41"
"3633","ＧＭＯペパボ","東S","2165","+13.0(+0.60%)","2,165.0","0.60","11,840","0.85"
"3634","ソケッツ","東S","644","+1.0(+0.16%)","644.0","0.16","1,595","1.33"
"3635","コーエーテクモＨＬＤＧ","東P","1773.0","+15.5(+0.88%)","1,773.0","0.88","595,900","1.31"
"3636","三菱総合研究所","東P","5100","+40.0(+0.79%)","5,100.0","0.79","81,824","1.02"
"3639","ボルテージ","東S","282","-2.0(-0.70%)","282.0","-0.70","1,855","0.52"
"3640","電算","東S","3195","+15.0(+0.47%)","3,195.0","0.47","18,650","0.53"
"3641","パピレス","東S","1036","+8.0(+0.78%)","1,036.0","0.78","10,699","1.12"
"3645","メディカルネット","東G","304","+1.0(+0.33%)","304.0","0.33","3,275","0.81"
"3646","駅探","東G","341","+0.0(+0.00%)","341.0","0.00","2,052","1.96"
"3647","ジー・スリーＨＬＤＧ","東S","125","-1.0(-0.79%)","125.0","-0.79","2,677","0.21"
"3648","ＡＧＳ","東S","1435","+18.0(+1.27%)","1,435.0","1.27","24,695","1.00"
"3649","ファインデックス","東P","908","-25.0(-2.68%)","908.0","-2.68","24,161","1.22"
"3652","ディジタルメディアプロ","東G","2466","+66.0(+2.75%)","2,466.0","2.75","7,774","0.81"
"3653","モルフォ","東G","840","-2.0(-0.24%)","840.0","-0.24","4,627","0.56"
"3655","ブレインパッド","東P","2690","+1.0(+0.04%)","2,690.0","0.04","59,989","0.59"
"3656","ＫＬａｂ","東P","352","+14.0(+4.14%)","352.0","4.14","27,045","1.63"
"3657","ポールトゥウィンＨＬＤＧ","東P","344","+9.0(+2.69%)","344.0","2.69","13,126","2.23"
"3659","ネクソン","東P","4421.0","+147.0(+3.44%)","4,421.0","3.44","3,656,878","1.18"
"365A","伊澤タオル","東S","717","+28.0(+4.06%)","717.0","4.06","7,170","4.88"
"3660","アイスタイル","東P","467","+10.0(+2.19%)","467.0","2.19","47,866","0.71"
"3661","エムアップＨＬＤＧ","東P","854","+22.0(+2.64%)","854.0","2.64","62,336","1.93"
"3662","エイチームＨＬＤＧ","東P","1273","+0.0(+0.00%)","1,273.0","0.00","23,947","1.35"
"3663","セルシス","東P","1517","-9.0(-0.59%)","1,517.0","-0.59","55,023","1.21"
"3664","モブキャストＨＬＤＧ","東G","39","+0.0(+0.00%)","39.0","0.00","3,301","0.63"
"3665","エニグモ","東P","520","+9.0(+1.76%)","520.0","1.76","22,174","1.14"
"3667","ｅｎｉｓｈ","東S","65","+3.0(+4.84%)","65.0","4.84","2,626","0.82"
"3668","コロプラ","東P","476","+14.0(+3.03%)","476.0","3.03","62,045","1.39"
"366A","ウェルネス・コミュニケーション","東G","2183","-5.0(-0.23%)","2,183.0","-0.23","13,604","0.66"
"3670","協立情報通信","東S","2121","-23.0(-1.07%)","2,121.0","-1.07","2,557","0.93"
"3671","ソフトマックス","東S","370","+13.0(+3.64%)","370.0","3.64","8,899","0.55"
"3672","オルトプラス","東S","53","+2.0(+3.92%)","53.0","3.92","3,994","1.03"
"3673","ブロードリーフ","東P","718","+8.0(+1.13%)","718.0","1.13","70,290","0.96"
"3674","オークファン","東G","340","+1.0(+0.29%)","340.0","0.29","3,677","2.39"
"3675","クロス・マーケティンググループ","東S","665","+12.0(+1.84%)","665.0","1.84","13,280","2.00"
"3676","デジタルハーツＨＬＤＧ","東P","945","+3.0(+0.32%)","945.0","0.32","22,577","0.89"
"3678","メディアドゥ","東P","1653","-2.0(-0.12%)","1,653.0","-0.12","25,134","0.72"
"3679","じげん","東P","484","+1.0(+0.21%)","484.0","0.21","53,240","2.66"
"367A","プリモグローバルＨＬＤＧ","東S","2180","-17.0(-0.77%)","2,180.0","-0.77","19,069","1.52"
"3680","ホットリンク","東G","276","+5.0(+1.85%)","276.0","1.85","4,407","1.72"
"3681","ブイキューブ","東P","151","-2.0(-1.31%)","151.0","-1.31","3,978","0.38"
"3682","エンカレッジ・テクノロジ","東S","710","+0.0(+0.00%)","710.0","0.00","4,916","0.60"
"3683","サイバーリンクス","東S","1335","+0.0(+0.00%)","1,335.0","0.00","15,235","1.06"
"3686","ディー・エル・イー","東S","130","+3.0(+2.36%)","130.0","2.36","5,648","1.00"
"3687","フィックスターズ","東P","1570","-2.0(-0.13%)","1,570.0","-0.13","52,807","1.16"
"368A","北里","東P","1603","+19.0(+1.20%)","1,603.0","1.20","64,120","0.60"
"3690","イルグルム","東S","590","+5.0(+0.85%)","590.0","0.85","3,760","1.21"
"3691","デジタルプラス","東G","1817","+85.0(+4.91%)","1,817.0","4.91","8,100","2.08"
"3692","ＦＦＲＩセキュリティ","東G","8990","+30.0(+0.33%)","8,990.0","0.33","73,628","0.25"
"3694","オプティム","東P","523","+11.0(+2.15%)","523.0","2.15","28,869","1.04"
"3695","ＧＭＯプロダクトプラットフォー","東G","2048","+14.0(+0.69%)","2,048.0","0.69","9,106","0.26"
"3696","セレス","東P","1921","+12.0(+0.63%)","1,921.0","0.63","23,276","0.95"
"3697","ＳＨＩＦＴ","東P","826.8","+24.0(+2.99%)","826.8","2.99","221,170","1.19"
"3698","ＣＲＩ・ミドルウェア","東G","1117","-2.0(-0.18%)","1,117.0","-0.18","6,231","2.65"
"369A","エータイ","東G","3000","+30.0(+1.01%)","3,000.0","1.01","12,711","1.39"
"3708","特種東海製紙","東P","1710","+22.0(+1.30%)","1,710.0","1.30","66,690","1.35"
"3710","ジョルダン","東S","588","-2.0(-0.34%)","588.0","-0.34","3,090","1.41"
"3712","情報企画","東S","6400","+10.0(+0.16%)","6,400.0","0.16","26,176","0.29"
"3719","ＡＩストーム","東S","269","+12.0(+4.67%)","269.0","4.67","7,497","1.32"
"3723","日本ファルコム","東G","1632","-6.0(-0.37%)","1,632.0","-0.37","16,777","0.73"
"3726","フォーシーズＨＤ","東S","464","+5.0(+1.09%)","464.0","1.09","5,200","1.09"
"3727","アプリックス","東G","204","+2.0(+0.99%)","204.0","0.99","4,475","0.41"
"372A","レント","東S","5890","+60.0(+1.03%)","5,890.0","1.03","22,889","1.33"
"3733","ソフトウェア・サービス","東S","13400","-80.0(-0.59%)","13,400.0","-0.59","73,539","2.31"
"3739","コムシード","名N","160","+0.0(+0.00%)","160.0","0.00","2,162","2.00"
"373A","リップス","東G","1647","+12.0(+0.73%)","1,647.0","0.73","4,262","1.67"
"3741","セック","東P","3620","+115.0(+3.28%)","3,620.0","3.28","37,069","1.21"
"3744","サイオス","東S","501","+5.0(+1.01%)","501.0","1.01","4,446","0.86"
"3747","インタートレード","東S","742","+5.0(+0.68%)","742.0","0.68","5,524","0.77"
"3750","ＡＤＲ１２０Ｓ","東S","867","+5.0(+0.58%)","867.0","0.58","7,742","0.46"
"3753","フライトソリューションズ","東S","164","-1.0(-0.61%)","164.0","-0.61","2,163","0.65"
"3758","アエリア","東S","297","+1.0(+0.34%)","297.0","0.34","6,311","1.09"
"3760","ケイブ","東S","686","-4.0(-0.58%)","686.0","-0.58","4,592","1.03"
"3762","テクマトリックス","東P","2320","+70.0(+3.11%)","2,320.0","3.11","103,283","0.85"
"3763","プロシップ","東P","1705","-7.0(-0.41%)","1,705.0","-0.41","54,463","0.88"
"3765","ガンホー・オンライン","東P","2635","+41.0(+1.58%)","2,635.0","1.58","182,240","0.86"
"3766","システムズ・デザイン","東S","1371","+35.0(+2.62%)","1,371.0","2.62","4,798","2.66"
"3768","リスクモンスター","東S","588","+21.0(+3.70%)","588.0","3.70","4,491","5.95"
"3769","ＧＭＯペイメントゲートウェイ","東P","9493.0","+45.0(+0.48%)","9,493.0","0.48","726,761","1.43"
"3771","システムリサーチ","東P","2015","+14.0(+0.70%)","2,015.0","0.70","33,691","1.11"
"3772","ウェルス・マネジメント","東S","1073","+3.0(+0.28%)","1,073.0","0.28","20,580","0.61"
"3773","アドバンスト・メディア","東G","1028","+1.0(+0.10%)","1,028.0","0.10","18,908","1.12"
"3774","インターネットイニシアティブ","東P","2638.5","+0.0(+0.00%)","2,638.5","0.00","484,030","0.71"
"3775","ガイアックス","名N","408","+0.0(+0.00%)","408.0","0.00","2,178","0.71"
"3776","ブロードバンドタワー","東S","183","+3.0(+1.67%)","183.0","1.67","11,305","1.06"
"3777","環境フレンドリーＨＬＤＧ","東G","65","+3.0(+4.84%)","65.0","4.84","19,790","0.57"
"3778","さくらインターネット","東P","2762","+16.0(+0.58%)","2,762.0","0.58","115,702","2.25"
"3779","ジェイ・エスコムＨＬＤＧ","東S","171","+1.0(+0.59%)","171.0","0.59","1,978","0.38"
"377A","エージェントＩＧＨＬＤＧ","名M","1310","+10.0(+0.77%)","1,310.0","0.77","3,773","2.00"
"3787","テクノマセマティカル","東S","591","+6.0(+1.03%)","591.0","1.03","1,533","0.69"
"3788","ＧＭＯグローバルサイン・ＨＬＤ","東P","2329","+9.0(+0.39%)","2,329.0","0.39","27,233","0.80"
"378A","ヒット","東G","2018","+71.0(+3.65%)","2,018.0","3.65","14,367","0.21"
"3791","ＩＧポート","東S","1253","+28.0(+2.29%)","1,253.0","2.29","25,338","0.44"
"3793","ドリコム","東G","431","+12.0(+2.86%)","431.0","2.86","12,691","0.92"
"3796","いい生活","東S","531","+4.0(+0.76%)","531.0","0.76","3,866","4.46"
"3798","ＵＬＳグループ","東S","622","+14.0(+2.30%)","622.0","2.30","39,699","1.44"
"3799","キーウェアソリューションズ","東S","1242","-7.0(-0.56%)","1,242.0","-0.56","11,315","1.07"
"3800","ユニリタ","東S","1983","+3.0(+0.15%)","1,983.0","0.15","15,864","5.00"
"3802","エコミック","東S","480","+0.0(+0.00%)","480.0","0.00","2,253","0.70"
"3803","イメージ情報開発","東G","534","+12.0(+2.30%)","534.0","2.30","1,111","4.83"
"3804","システム　ディ","東S","1714","+13.0(+0.76%)","1,714.0","0.76","11,138","2.50"
"3807","フィスコ","東G","129","+6.0(+4.88%)","129.0","4.88","5,922","1.28"
"3808","オーケーウェブ","名N","45","+1.0(+2.27%)","45.0","2.27","2,272","0.48"
"3810","サイバーステップ　ＨＬＤＧ","東S","317","+3.0(+0.96%)","317.0","0.96","21,877","0.95"
"3815","メディア工房","東G","518","+0.0(+0.00%)","518.0","0.00","5,853","2.08"
"3816","大和コンピューター","東S","1120","-4.0(-0.36%)","1,120.0","-0.36","4,424","2.00"
"3817","ＳＲＡ　ＨＬＤＧ","東P","5730","-10.0(-0.17%)","5,730.0","-0.17","87,325","0.64"
"3823","ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ","東S","55","+4.0(+7.84%)","55.0","7.84","7,228","1.81"
"3824","メディアファイブ","福Q","760","-82.0(-9.74%)","760.0","-9.74","749","1.85"
"3825","リミックスポイント","東S","281","+3.0(+1.08%)","281.0","1.08","41,880","0.73"
"3826","システムインテグレータ","東S","502","+6.0(+1.21%)","502.0","1.21","5,561","4.01"
"3834","朝日ネット","東P","712","+4.0(+0.56%)","712.0","0.56","22,784","1.24"
"3835","ｅＢＡＳＥ","東P","457","+0.0(+0.00%)","457.0","0.00","21,554","0.82"
"3836","アバントグループ","東P","1892","+34.0(+1.83%)","1,892.0","1.83","71,226","1.20"
"3837","アドソル日進","東P","1639","-13.0(-0.79%)","1,639.0","-0.79","29,322","1.48"
"3839","ＯＤＫソリューションズ","東S","632","-2.0(-0.32%)","632.0","-0.32","5,182","1.24"
"3840","パス","東S","60","-1.0(-1.64%)","60.0","-1.64","4,692","0.17"
"3841","ジーダット","東S","1299","+4.0(+0.31%)","1,299.0","0.31","5,079","0.93"
"3842","ネクストジェン","東S","1060","+7.0(+0.66%)","1,060.0","0.66","3,278","4.62"
"3843","フリービット","東P","1719","+22.0(+1.30%)","1,719.0","1.30","40,249","1.60"
"3844","コムチュア","東P","1737","+17.0(+0.99%)","1,737.0","0.99","56,004","1.12"
"3845","アイフリークモバイル","東S","227","+4.0(+1.79%)","227.0","1.79","5,048","0.28"
"3848","データ・アプリケーション","東S","1040","+31.0(+3.07%)","1,040.0","3.07","7,711","0.45"
"3849","日本テクノ・ラボ","札A","546","+2.0(+0.37%)","546.0","0.37","945","0.38"
"3850","エヌ・ティ・ティ・データ・イン","東S","3975","+60.0(+1.53%)","3,975.0","1.53","19,696","1.32"
"3851","日本一ソフトウェア","東S","829","+14.0(+1.72%)","829.0","1.72","4,270","3.00"
"3853","アステリア","東P","1227","+77.0(+6.70%)","1,227.0","6.70","21,462","1.73"
"3854","アイル","東P","2560","+29.0(+1.15%)","2,560.0","1.15","64,109","1.64"
"3856","Ａｂａｌａｎｃｅ","東S","567","+19.0(+3.47%)","567.0","3.47","10,792","0.61"
"3858","ユビキタスＡＩ","東S","412","+7.0(+1.73%)","412.0","1.73","4,309","0.92"
"3861","王子ＨＬＤＧ","東P","920.8","+3.4(+0.37%)","920.8","0.37","934,043","1.04"
"3863","日本製紙","東P","1192","-2.0(-0.17%)","1,192.0","-0.17","138,576","0.63"
"3864","三菱製紙","東P","679","-1.0(-0.15%)","679.0","-0.15","30,379","0.44"
"3865","北越コーポレーション","東P","937","-6.0(-0.64%)","937.0","-0.64","176,206","0.71"
"386A","みのや","東S","1640","+40.0(+2.50%)","1,640.0","2.50","5,912","0.30"
"3877","中越パルプ工業","東P","2024","-7.0(-0.34%)","2,024.0","-0.34","27,030","0.57"
"3878","巴川","東S","798","-1.0(-0.13%)","798.0","-0.13","8,291","1.86"
"387A","フラー","東G","1650","-45.0(-2.65%)","1,650.0","-2.65","2,801","0.74"
"3880","大王製紙","東P","1005","+6.0(+0.60%)","1,005.0","0.60","169,858","0.85"
"3891","ニッポン高度紙工業","東S","3625","-30.0(-0.82%)","3,625.0","-0.82","38,782","1.37"
"3892","岡山製紙","東S","1774","+15.0(+0.85%)","1,774.0","0.85","9,757","0.20"
"3895","ハビックス","東S","424","-9.0(-2.08%)","424.0","-2.08","3,466","1.49"
"3896","阿波製紙","東S","424","+19.0(+4.69%)","424.0","4.69","4,313","1.12"
"3900","クラウドワークス","東G","794","+0.0(+0.00%)","794.0","0.00","12,563","1.72"
"3901","マークラインズ","東P","1554","+17.0(+1.11%)","1,554.0","1.11","20,558","2.23"
"3902","メディカル・データ・ビジョン","東P","1691","+1.0(+0.06%)","1,691.0","0.06","67,687","0.90"
"3903","ｇｕｍｉ","東P","382","+6.0(+1.60%)","382.0","1.60","20,079","1.43"
"3904","カヤック","東G","542","+4.0(+0.74%)","542.0","0.74","8,731","0.58"
"3905","データセクション","東G","2027","+0.0(+0.00%)","2,027.0","0.00","60,342","0.52"
"3907","シリコンスタジオ","東S","725","-4.0(-0.55%)","725.0","-0.55","2,156","0.50"
"3908","コラボス","東G","301","+5.0(+1.69%)","301.0","1.69","1,498","0.29"
"3909","ショーケース","東S","296","+3.0(+1.02%)","296.0","1.02","3,015","0.42"
"3910","エムケイシステム","東S","317","+1.0(+0.32%)","317.0","0.32","1,721","0.04"
"3911","Ａｉｍｉｎｇ","東G","233","+4.0(+1.75%)","233.0","1.75","10,882","0.94"
"3912","モバイルファクトリー","東S","1083","+2.0(+0.19%)","1,083.0","0.19","9,666","0.08"
"3913","ＧｒｅｅｎＢｅｅ","東G","1531","+51.0(+3.45%)","1,531.0","3.45","3,596","1.76"
"3914","ＪＩＧ―ＳＡＷ","東G","2750","+15.0(+0.55%)","2,750.0","0.55","18,565","0.95"
"3915","テラスカイ","東P","2299","+9.0(+0.39%)","2,299.0","0.39","29,699","1.01"
"3916","デジタル・インフォメーション","東P","1387","+0.0(+0.00%)","1,387.0","0.00","43,002","1.28"
"3917","アイリッジ","東G","627","+100.0(+18.98%)","627.0","18.98","4,909","0.61"
"3918","ＰＣＩ　ＨＬＤＧ","東S","1607","+9.0(+0.56%)","1,607.0","0.56","16,267","0.49"
"391A","山忠","名M","2529","+4.0(+0.16%)","2,529.0","0.16","3,189","0.23"
"3920","アイビーシー","東S","990","-7.0(-0.70%)","990.0","-0.70","5,694","0.65"
"3921","ネオジャパン","東P","1783","-5.0(-0.28%)","1,783.0","-0.28","25,118","1.19"
"3922","ＰＲ　ＴＩＭＥＳ","東P","2817","+125.0(+4.64%)","2,817.0","4.64","38,094","2.56"
"3923","ラクス","東P","943.4","-6.6(-0.69%)","943.4","-0.69","340,253","1.68"
"3924","ランドコンピュータ","東P","968","+11.0(+1.15%)","968.0","1.15","17,393","2.03"
"3925","ダブルスタンダード","東P","1708","+7.0(+0.41%)","1,708.0","0.41","23,195","1.25"
"3926","オープンドア","東P","336","-10.0(-2.89%)","336.0","-2.89","10,503","1.88"
"3927","フーバーブレイン","東G","888","+33.0(+3.86%)","888.0","3.86","4,977","1.01"
"3928","マイネット","東S","298","+6.0(+2.05%)","298.0","2.05","2,596","0.57"
"3929","ソーシャルワイヤー","東G","285","-2.0(-0.70%)","285.0","-0.70","3,376","0.05"
"3930","はてな","東G","916","-11.0(-1.19%)","916.0","-1.19","2,817","1.25"
"3931","バリューゴルフ","東G","1561","+10.0(+0.64%)","1,561.0","0.64","2,821","0.52"
"3932","アカツキ","東P","2665","+61.0(+2.34%)","2,665.0","2.34","38,695","2.10"
"3933","チエル","東S","677","+2.0(+0.30%)","677.0","0.30","5,329","0.95"
"3934","ベネフィットジャパン","東S","1898","+48.0(+2.59%)","1,898.0","2.59","11,413","1.06"
"3935","エディア","東S","791","+27.0(+3.53%)","791.0","3.53","4,903","0.58"
"3936","グローバルウェイ","東G","149","+7.0(+4.93%)","149.0","4.93","5,448","1.39"
"3937","Ｕｂｉｃｏｍ　ＨＬＤＧ","東P","1083","+2.0(+0.19%)","1,083.0","0.19","13,267","0.82"
"3939","カナミックネットワーク","東P","522","+11.0(+2.15%)","522.0","2.15","25,125","1.20"
"3940","ノムラシステムコーポレーション","東S","136","+0.0(+0.00%)","136.0","0.00","6,350","1.60"
"3941","レンゴー","東P","1290.0","+11.5(+0.90%)","1,290.0","0.90","349,662","0.85"
"3943","大石産業","東S","1428","-4.0(-0.28%)","1,428.0","-0.28","13,320","2.38"
"3944","古林紙工","東S","2529","+91.0(+3.73%)","2,529.0","3.73","4,494","0.53"
"3945","スーパーバッグ","東S","2808","-3.0(-0.11%)","2,808.0","-0.11","4,735","0.83"
"3946","トーモク","東P","3580","-65.0(-1.78%)","3,580.0","-1.78","69,243","0.81"
"3947","ダイナパック","東S","2460","+80.0(+3.36%)","2,460.0","3.36","25,394","4.89"
"3948","光ビジネスフォーム","東S","1271","-5.0(-0.39%)","1,271.0","-0.39","7,391","0.71"
"3950","ザ・パック","東P","1307","-6.0(-0.46%)","1,307.0","-0.46","78,028","0.63"
"3951","朝日印刷","東S","905","-1.0(-0.11%)","905.0","-0.11","20,716","1.01"
"3953","大村紙業","東S","828","+3.0(+0.36%)","828.0","0.36","2,949","0.59"
"3954","昭和パックス","東S","3305","+50.0(+1.54%)","3,305.0","1.54","14,707","7.00"
"3955","イムラ","東S","1037","+5.0(+0.48%)","1,037.0","0.48","11,126","0.38"
"3958","笹徳印刷","東S","559","-1.0(-0.18%)","559.0","-0.18","3,457","3.57"
"3961","シルバーエッグ・テクノロジー","東G","764","+2.0(+0.26%)","764.0","0.26","2,274","2.32"
"3962","チェンジＨＬＤＧ","東P","1096","+3.0(+0.27%)","1,096.0","0.27","80,942","1.06"
"3963","シンクロ・フード","東P","628","+3.0(+0.48%)","628.0","0.48","18,289","0.84"
"3964","オークネット","東P","2169","+9.0(+0.42%)","2,169.0","0.42","104,169","1.21"
"3965","キャピタル・アセット・プランニ","東S","856","+2.0(+0.23%)","856.0","0.23","4,930","0.49"
"3967","エルテス","東G","658","+3.0(+0.46%)","658.0","0.46","4,093","2.88"
"3968","セグエグループ","東P","624","+0.0(+0.00%)","624.0","0.00","20,320","1.22"
"3969","エイトレッド","東S","1509","+17.0(+1.14%)","1,509.0","1.14","11,298","1.91"
"3970","イノベーション","東G","959","-4.0(-0.42%)","959.0","-0.42","2,635","1.79"
"3974","ＳＣＡＴ","東S","573","+0.0(+0.00%)","573.0","0.00","3,003","0.65"
"3976","シャノン","東G","367","+4.0(+1.10%)","367.0","1.10","2,175","0.74"
"3977","フュージョン","札A","530","+0.0(+0.00%)","530.0","0.00","764","1.29"
"3979","うるる","東G","428","+2.0(+0.47%)","428.0","0.47","11,856","0.30"
"3981","ビーグリー","東S","1264","+8.0(+0.64%)","1,264.0","0.64","7,966","2.29"
"3983","オロ","東P","2180","+16.0(+0.74%)","2,180.0","0.74","34,769","1.02"
"3984","ユーザーローカル","東P","1984","+7.0(+0.35%)","1,984.0","0.35","32,228","0.91"
"3985","テモナ","東S","226","-1.0(-0.44%)","226.0","-0.44","2,585","2.22"
"3986","ビーブレイクシステムズ","東G","479","+5.0(+1.05%)","479.0","1.05","2,209","0.64"
"3987","エコモット","東G","505","-1.0(-0.20%)","505.0","-0.20","2,667","0.68"
"3988","ＳＹＳ　ＨＬＤＧ","東S","574","-4.0(-0.69%)","574.0","-0.69","6,102","5.81"
"3989","シェアリングテクノロジー","東G","1217","+12.0(+1.00%)","1,217.0","1.00","29,731","1.47"
"3991","ウォンテッドリー","東G","1198","+17.0(+1.44%)","1,198.0","1.44","11,390","1.44"
"3992","ニーズウェル","東P","576","+8.0(+1.41%)","576.0","1.41","23,443","2.14"
"3993","ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ","東P","3350","+15.0(+0.45%)","3,350.0","0.45","107,026","1.21"
"3994","マネーフォワード","東P","4141.0","-43.0(-1.03%)","4,141.0","-1.03","229,945","1.05"
"3996","サインポスト","東S","280","+2.0(+0.72%)","280.0","0.72","3,583","1.13"
"3997","トレードワークス","東S","531","+10.0(+1.92%)","531.0","1.92","20,731","1.11"
"3998","すららネット","東G","326","+2.0(+0.62%)","326.0","0.62","2,182","0.59"
"4004","レゾナック・ＨＬＤＧ","東P","8249.0","-53.0(-0.64%)","8,249.0","-0.64","1,525,251","0.54"
"4005","住友化学","東P","479.2","+0.2(+0.04%)","479.2","0.04","794,472","0.87"
"4008","住友精化","東P","5410","-10.0(-0.18%)","5,410.0","-0.18","75,696","0.77"
"4011","ヘッドウォータース","東G","3500","+160.0(+4.79%)","3,500.0","4.79","13,454","1.47"
"4012","アクシス","東S","1493","+13.0(+0.88%)","1,493.0","0.88","6,544","1.03"
"4013","勤次郎","東G","1214","+4.0(+0.33%)","1,214.0","0.33","25,300","0.97"
"4014","カラダノート","東G","465","+1.0(+0.22%)","465.0","0.22","3,115","0.45"
"4015","ペイクラウドＨＬＤＧ","東G","499","+2.0(+0.40%)","499.0","0.40","7,964","2.06"
"4016","ＭＩＴ　ＨＬＤＧ","東S","971","+3.0(+0.31%)","971.0","0.31","2,065","0.64"
"4017","クリーマ","東G","254","+0.0(+0.00%)","254.0","0.00","1,712","0.93"
"4018","Ｇｅｏｌｏｃａｔｉｏｎ　Ｔｅｃ","福Q","1078","+0.0(+0.00%)","1,078.0","0.00","1,712","0.08"
"4019","スタメン","東G","771","+24.0(+3.21%)","771.0","3.21","6,771","2.92"
"401A","霞ヶ関ホテルリート投資法人","東REIT","106300","+0.0(+0.00%)","106,300.0","0.00","30,540","0.76"
"4020","ビートレンド","東G","775","+2.0(+0.26%)","775.0","0.26","1,705","0.59"
"4021","日産化学","東P","5493.0","+58.0(+1.07%)","5,493.0","1.07","745,949","1.28"
"4022","ラサ工業","東P","7280","-10.0(-0.14%)","7,280.0","-0.14","57,834","0.49"
"4023","クレハ","東P","4475","+35.0(+0.79%)","4,475.0","0.79","223,491","0.67"
"4025","多木化学","東P","4050","-15.0(-0.37%)","4,050.0","-0.37","38,308","0.40"
"4026","神島化学工業","東S","1652","+20.0(+1.23%)","1,652.0","1.23","15,264","1.63"
"4027","テイカ","東P","1463","+66.0(+4.72%)","1,463.0","4.72","34,987","0.94"
"4028","石原産業","東P","2928","-2.0(-0.07%)","2,928.0","-0.07","118,244","0.82"
"402A","アクセルスペースＨＬＤＧ","東G","600","+44.0(+7.91%)","600.0","7.91","39,834","1.73"
"4031","片倉コープアグリ","東S","980","-5.0(-0.51%)","980.0","-0.51","9,958","2.26"
"4040","南海化学","東S","3210","-45.0(-1.38%)","3,210.0","-1.38","7,480","1.89"
"4041","日本曹達","東P","3760","+30.0(+0.80%)","3,760.0","0.80","213,522","0.89"
"4042","東ソー","東P","2567.0","+7.0(+0.27%)","2,567.0","0.27","834,483","1.05"
"4043","トクヤマ","東P","4532.0","+83.0(+1.87%)","4,532.0","1.87","326,704","1.20"
"4044","セントラル硝子","東P","3735","+30.0(+0.81%)","3,735.0","0.81","97,110","0.71"
"4045","東亞合成","東P","1784.0","+8.0(+0.45%)","1,784.0","0.45","192,672","0.98"
"4046","大阪ソーダ","東P","2219","-21.0(-0.94%)","2,219.0","-0.94","296,592","0.66"
"4047","関東電化工業","東P","1307","+3.0(+0.23%)","1,307.0","0.23","75,213","0.33"
"4051","ＧＭＯ　フィナンシャルゲート","東P","5070","+30.0(+0.60%)","5,070.0","0.60","42,281","0.73"
"4052","フィーチャ","東G","293","+0.0(+0.00%)","293.0","0.00","1,716","0.80"
"4053","Ｓｕｎ　Ａｓｔｅｒｉｓｋ","東P","467","+2.0(+0.43%)","467.0","0.43","18,267","0.60"
"4054","日本情報クリエイト","東G","665","+11.0(+1.68%)","665.0","1.68","9,559","0.62"
"4055","ティアンドエスグループ","東G","1900","+85.0(+4.68%)","1,900.0","4.68","14,503","0.72"
"4056","ニューラルグループ","東G","423","+5.0(+1.20%)","423.0","1.20","7,272","2.05"
"4057","インターファクトリー","東G","413","+3.0(+0.73%)","413.0","0.73","1,704","1.46"
"4058","トヨクモ","東G","2685","+48.0(+1.82%)","2,685.0","1.82","29,556","1.08"
"4059","まぐまぐ","東S","523","+10.0(+1.95%)","523.0","1.95","1,525","0.70"
"4060","ｒａｋｕｍｏ","東G","1031","+11.0(+1.08%)","1,031.0","1.08","6,010","1.34"
"4061","デンカ","東P","3096.0","+12.0(+0.39%)","3,096.0","0.39","274,169","0.95"
"4062","イビデン","東P","8284.0","-262.0(-3.07%)","8,284.0","-3.07","2,333,778","1.16"
"4063","信越化学工業","東P","5631.0","-20.0(-0.35%)","5,631.0","-0.35","11,177,512","0.52"
"4064","日本カーバイド工業","東P","2705","+26.0(+0.97%)","2,705.0","0.97","25,480","0.68"
"4068","ベイシス","東G","1772","+0.0(+0.00%)","1,772.0","0.00","3,349","0.60"
"4069","ＢｌｕｅＭｅｍｅ","東G","1442","+7.0(+0.49%)","1,442.0","0.49","5,217","0.47"
"4071","プラスアルファコンサルティング","東P","2350","+14.0(+0.60%)","2,350.0","0.60","99,611","0.92"
